,TweetID,Labels,Targets
0,1498812104148721668,Hate,Individual
1,1498812116836360194,Hate,Community
2,1498812179440717825,Hate,Individual
3,1498812208922259458,Hate,Community
4,1498812217747292163,Hate,Individual
5,1498812253390389248,Hate,Individual
6,1498812271799291907,Hate,Individual
7,1498812385427079170,Hate,Individual
8,1498812397355552771,Hate,Community
9,1498812408751603717,Hate,Individual
10,1498812456902217737,Hate,Individual
11,1498812493971574785,Hate,Individual
12,1498812515601600521,Hate,Individual
13,1498812536103194624,Hate,Individual
14,1498820846277775360,Hate,Individual
15,1498821000762621952,Hate,Community
16,1498821016503533569,Hate,Individual
17,1498821117057798145,Hate,Individual
18,1498821175811715074,Hate,Individual
19,1498821192312045568,Hate,Organisation
20,1498821221580165121,Hate,Organisation
21,1498821238516498432,Hate,Individual
22,1498829984298721282,Hate,Individual
23,1498830013671653377,Hate,Individual
24,1498830022471213067,Hate,Community
25,1498830059280289794,Hate,Organisation
26,1498830063877468167,Hate,Individual
27,1498830113416396808,Hate,Organisation
28,1498830127060459523,Hate,Community
29,1498830222522830848,Hate,Individual
30,1498830227908317188,Hate,Individual
31,1498830231196553222,Hate,Individual
32,1498830282580975621,Hate,Individual
33,1498830295201509379,Hate,Organisation
34,1498830315854475275,Hate,Organisation
35,1498830403494461450,Hate,Individual
36,1498838867243413505,Hate,Individual
37,1498838930413834241,Hate,Individual
38,1498838938991144967,Hate,Individual
39,1498838967894032387,Hate,Organisation
40,1498839140171128832,Hate,Individual
41,1498839190599049216,Hate,Community
42,1498839290977177600,Hate,Organisation
43,1498839292067475458,Hate,Individual
44,1498848267127382016,Hate,Individual
45,1498848296235941893,Hate,Organisation
46,1498848325621059584,Hate,Organisation
47,1498848526767378432,Hate,Individual
48,1498848602759725060,Hate,Individual
49,1498857034023854080,Hate,Community
50,1498857065909043200,Hate,Individual
51,1498857128769073160,Hate,Organisation
52,1498857151342673924,Hate,Individual
53,1498857183651500037,Hate,Individual
54,1498857218011242498,Hate,Community
55,1498857256590655488,Hate,Individual
56,1498857281278160898,Hate,Organisation
57,1498866374055108608,Hate,Community
58,1498866391604158465,Hate,Individual
59,1498866399489540096,Hate,Community
60,1498866404635852800,Hate,Community
61,1498866420049920006,Hate,Individual
