TweetID,Labels,Targets
1498812104148721668,Hate,Individual
1498812179440717825,Hate,Individual
1498812208922259458,Hate,Community
1498812217747292163,Hate,Individual
1498812253390389248,Hate,Individual
1498812271799291907,Hate,Individual
1498812385427079170,Hate,Individual
1498812397355552771,Hate,Community
1498812408751603717,Hate,Individual
1498812456902217737,Hate,Individual
1498812493971574785,Hate,Individual
1498812515601600521,Hate,Individual
1498812536103194624,Hate,Individual
1498820846277775360,Hate,Individual
1498821175811715074,Hate,Individual
1498821192312045568,Hate,Organisation
1498821221580165121,Hate,Organisation
1498821238516498432,Hate,Individual
1498829984298721282,Hate,Individual
1498830013671653377,Hate,Individual
1498830127060459523,Hate,Community
1498830231196553222,Hate,Individual
1498830282580975621,Hate,Individual
1498830295201509379,Hate,Organisation
1498830315854475275,Hate,Organisation
1498838930413834241,Hate,Individual
1498838938991144967,Hate,Individual
1498838967894032387,Hate,Organisation
1498839140171128832,Hate,Individual
1498839290977177600,Hate,Organisation
1498839292067475458,Hate,Individual
1498848296235941893,Hate,Organisation
1498848325621059584,Hate,Organisation
1498857034023854080,Hate,Community
1498857065909043200,Hate,Individual
1498857128769073160,Hate,Organisation
1498857151342673924,Hate,Individual
1498857183651500037,Hate,Individual
1498857218011242498,Hate,Community
1498857256590655488,Hate,Individual
1498857281278160898,Hate,Organisation
1498866391604158465,Hate,Individual
1498866404635852800,Hate,Community
1498866420049920006,Hate,Individual
1498866474441752587,Hate,Organisation
1498866492581900294,Hate,Community
1498866532427997186,Hate,Individual
1498866746609975302,Hate,Individual
1498866750347218947,Hate,Individual
1498875366366089218,Hate,Individual
1498875455436300291,Hate,Community
1498875463539867648,Hate,Community
1498875538907144192,Hate,Individual
1498884401274384384,Hate,Community
1499180632911622145,Hate,Individual
1499180669364326400,Hate,Individual
1499180687387103234,Hate,Individual
1499180690398760964,Hate,Individual
1499180734069698563,Hate,Individual
1499180799610007559,Hate,Individual
1499180854282981377,Hate,Individual
1499188191236136962,Hate,Individual
1499188350279892994,Hate,Individual
1499188505624338439,Hate,Individual
1499196922665771008,Hate,Individual
1499197090240790528,Hate,Community
1499204653057298437,Hate,Individual
1499204959832739842,Hate,Individual
1499212491901087748,Hate,Individual
1499212572821803009,Hate,Individual
1499212647195197443,Hate,Individual
1499212713460961280,Hate,Organisation
1499212714371129344,Hate,Individual
1499212824010100736,Hate,Organisation
1499220482310098948,Hate,Individual
1499220595732406281,Hate,Individual
1499220667593412610,Hate,Individual
1499228330632962048,Hate,Individual
1499228463928123395,Hate,Individual
1499228493074337799,Hate,Individual
1499228591267196932,Hate,Individual
1499228637442105344,Hate,Individual
1499236581336825858,Hate,Community
1499244443853258752,Hate,Organisation
1499244460399599618,Hate,Individual
1499244554197041153,Hate,Individual
1499244558823006208,Hate,Individual
1499244611944030208,Hate,Individual
1499244671645671426,Hate,Individual
1499252303991349249,Hate,Individual
1499252320768598023,Hate,Individual
1499252410396692480,Hate,Individual
1499897480246448129,Hate,Individual
1499897631413350402,Hate,Community
1499906733673570311,Hate,Organisation
1499906778921725954,Hate,Individual
1499906925663772676,Hate,Organisation
1499907014771847172,Hate,Individual
1499907124012351489,Hate,Individual
1499916514681503745,Hate,Individual
1499916560340717570,Hate,Individual
1499916570214162433,Hate,Community
1499916580704165891,Hate,Organisation
1499916715186028548,Hate,Organisation
1499916729450909696,Hate,Community
1499916799348981761,Hate,Individual
1499916858874548225,Hate,Community
1499916875647520770,Hate,Organisation
1499916909168447492,Hate,Individual
1499926154056126464,Hate,Individual
1499926202827489281,Hate,Individual
1499926207076319233,Hate,Individual
1499926258712555524,Hate,Community
1499926270091546624,Hate,Community
1499926283450474496,Hate,Individual
1499926375800745987,Hate,Individual
1499926387293319168,Hate,Individual
1499926592927141896,Hate,Individual
1499936287033233409,Hate,Individual
1499936353961848838,Hate,Organisation
1499936567128899584,Hate,Community
1499936667020541959,Hate,Individual
1499936681691996163,Hate,Organisation
1499946050811047940,Hate,Individual
1499946211339644929,Hate,Individual
1499946294911152132,Hate,Individual
1499946295133282306,Hate,Individual
1499946365614374912,Hate,Individual
1499946390037807104,Hate,Individual
1499955777741721603,Hate,Individual
1499955781243965446,Hate,Individual
1499955824025915393,Hate,Individual
1499955962731450368,Hate,Community
1499956034152062983,Hate,Individual
1499956037796839425,Hate,Individual
1499956059254915075,Hate,Individual
1499956168395042817,Hate,Individual
1499965442160484356,Hate,Individual
1499965620690907138,Hate,Organisation
1499965629582872582,Hate,Individual
1499965698105548806,Hate,Individual
1499965751435870208,Hate,Individual
1499965768104128516,Hate,Individual
1499975091299434497,Hate,Organisation
1499975169019944960,Hate,Individual
1499975326398619650,Hate,Community
1499984471696809989,Hate,Community
1499984515636547587,Hate,Individual
1499984544937787393,Hate,Individual
1499984546544168963,Hate,Individual
1499984596347199490,Hate,Community
1499984694234218505,Hate,Individual
1499984712219119622,Hate,Individual
1499994391305277442,Hate,Individual
1499994399358570498,Hate,Individual
1500262020033171466,Hate,Organisation
1500262070729728008,Hate,Individual
1500262079923687426,Hate,Individual
1500262104292421634,Hate,Organisation
1500262134319652873,Hate,Individual
1500262187771830272,Hate,Community
1500262229668737030,Hate,Community
1500262243123957762,Hate,Individual
1500262418844426240,Hate,Community
1500270999517990918,Hate,Organisation
1500271088110026757,Hate,Individual
1500271150609354753,Hate,Community
1500271189100486660,Hate,Individual
1500271301826654208,Hate,Individual
1500280445753348099,Hate,Individual
1500280634484445184,Hate,Community
1500280722594144257,Hate,Individual
1500289404627152897,Hate,Individual
1500289409853255680,Hate,Individual
1500289542565232640,Hate,Individual
1500289560546213889,Hate,Individual
1500289643988021251,Hate,Community
1500289669329833985,Hate,Individual
1500289729249509376,Hate,Individual
1500289769724682247,Hate,Organisation
1500298340080431104,Hate,Community
1500298348082843649,Hate,Community
1500298355544625154,Hate,Individual
1500298464256831500,Hate,Community
1500298480828305417,Hate,Organisation
1500298544023883776,Hate,Organisation
1500298712995667971,Hate,Organisation
1500306638263230465,Hate,Individual
1500306744853082113,Hate,Individual
1500306752595804160,Hate,Individual
1500306833541677062,Hate,Organisation
1500306835823333378,Hate,Organisation
1500315623989170177,Hate,Community
1500315779757232128,Hate,Individual
1500315784446464004,Hate,Individual
1500315975597494274,Hate,Organisation
1500324410011570176,Hate,Individual
1500324477686939648,Hate,Individual
1500324583920001030,Hate,Community
1500324608016207875,Hate,Individual
1500324700706283522,Hate,Community
1500333169735880704,Hate,Individual
1500333444408115202,Hate,Individual
1500333527811907584,Hate,Individual
1500341495353778185,Hate,Individual
1500341524059639811,Hate,Individual
1500341548730437632,Hate,Individual
1500341657086091266,Hate,Individual
1500341678032527360,Hate,Individual
1500349740571054081,Hate,Individual
1500349748452249602,Hate,Individual
1500349748582174727,Hate,Individual
1500349802240004099,Hate,Individual
1500622281806163968,Hate,Individual
1500622341994385417,Hate,Individual
1500622428887781376,Hate,Organisation
1500622448789581826,Hate,Individual
1500622554360254465,Hate,Community
1500622578838384641,Hate,Individual
1500622613852217347,Hate,Individual
1500622689622450178,Hate,Organisation
1500630691368820741,Hate,Community
1500630737665593346,Hate,Individual
1500630892737228802,Hate,Community
1500630976011120644,Hate,Individual
1500630983904743425,Hate,Community
1500639360240295941,Hate,Individual
1500639385414516737,Hate,Organisation
1500639387809468419,Hate,Community
1500639512128544773,Hate,Community
1500639671281463297,Hate,Individual
1500649313877192704,Hate,Individual
1500649326707572736,Hate,Individual
1500649490239340547,Hate,Organisation
1500649528931856386,Hate,Individual
1500649666584756224,Hate,Individual
1500658139934433289,Hate,Individual
1500658164676452353,Hate,Individual
1500658180761792514,Hate,Individual
1500658298000838657,Hate,Individual
1500658362106712069,Hate,Community
1500658415588229126,Hate,Community
1500658421183528962,Hate,Organisation
1500666691805753348,Hate,Individual
1500666707198853123,Hate,Community
1500666728707399681,Hate,Organisation
1500666738278604800,Hate,Individual
1500666759191449601,Hate,Individual
1500667017682116612,Hate,Organisation
1500675432126976004,Hate,Individual
1500675494403973125,Hate,Community
1500675647617781762,Hate,Community
1500675659831599109,Hate,Individual
1500675697567748096,Hate,Individual
1500675701610979330,Hate,Individual
1500675797958504449,Hate,Individual
1500683162808205318,Hate,Community
1500683167958765570,Hate,Individual
1500683171028942851,Hate,Individual
1500683253262569474,Hate,Community
1500683259084259328,Hate,Organisation
1500683308786536448,Hate,Individual
1500683405247328259,Hate,Community
1500683519973945353,Hate,Community
1500691914688970752,Hate,Individual
1500691919843860484,Hate,Individual
1500691979444887555,Hate,Individual
1500692080338911237,Hate,Individual
1500692084092768258,Hate,Community
1500700716117409792,Hate,Organisation
1500700750569426944,Hate,Organisation
1500700778184409088,Hate,Organisation
1500700840713015297,Hate,Community
1500701062788837382,Hate,Individual
1500709435144130560,Hate,Community
1500709435781615618,Hate,Individual
1500709464952827905,Hate,Individual
1500709507588050947,Hate,Organisation
1500709665939902467,Hate,Individual
1500709724181913601,Hate,Individual
1500717413590917121,Hate,Individual
1500717490195689476,Hate,Individual
1500984736923017216,Hate,Community
1500984762059886594,Hate,Individual
1500984787703676929,Hate,Individual
1500984825913634817,Hate,Community
1500984837917720580,Hate,Individual
1500984855248744450,Hate,Individual
1500984879420428293,Hate,Community
1500984904443645954,Hate,Individual
1500984909791432710,Hate,Individual
1500985017337622529,Hate,Individual
